longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,bedroom_ratio,household_rooms
-122.14,37.88,34.0,8.85180655855245,7.00033446027523,7.960672608388117,7.025538314638521,6.2275,394400.0,False,False,False,True,False,0.7908368098613313,1.2599470904754286
-122.06,37.68,30.0,8.588210678651517,7.0967213784947605,7.889084407035514,6.954638864880987,3.1796,170300.0,False,False,False,True,False,0.8263329398911597,1.234889524173515
-120.87,39.15,17.0,7.506591780070841,5.966146739123692,6.602587892189336,5.648974238161206,2.8603,128900.0,False,True,False,False,False,0.7947876897959394,1.3288415672637774
-119.21,34.26,26.0,7.786136437783072,6.021023349349527,7.1808311990445555,5.971261839790462,4.9079,234100.0,False,False,False,False,True,0.773300519129341,1.3039348544220422
-118.95,35.38,30.0,7.861341795599989,6.171700597410915,7.258412150595307,6.175867270105761,3.725,83100.0,False,True,False,False,False,0.7850696176147983,1.2729130099108112
-117.94,33.81,25.0,7.4570320891223805,6.180016653652572,7.028201432058005,6.1224928095143865,3.256,214300.0,True,False,False,False,False,0.828750175645268,1.2179731885571368
-118.27,33.92,35.0,7.506042178518122,5.926926025970411,7.275864600546533,5.921578419643816,2.745,106800.0,True,False,False,False,False,0.7896206662591033,1.2675745631634499
-117.74,33.62,16.0,7.5443321080536885,6.3818160174060985,6.532334292222349,6.2878585601617845,3.4706,241700.0,True,False,False,False,False,0.8459086803182237,1.1998253516471553
-122.14,37.67,34.0,8.01862546504575,6.280395838960195,7.220373836723949,6.2166061010848646,4.2386,192300.0,False,False,False,True,False,0.7832259863410845,1.2898718906521056
-122.44,37.79,52.0,7.454141078146678,5.953243334287785,6.421622267806518,5.877735781779639,3.6812,500000.0,False,False,False,True,False,0.7986491363493134,1.268199414688515
-122.29,37.81,49.0,6.739336627357174,5.3230099791384085,6.329720905522696,5.030437921392435,1.75,75000.0,False,False,False,True,False,0.7898418306529708,1.339711717482384
-119.34,36.21,22.0,8.028129059431759,6.588926477533519,7.680637427560936,6.6052979209482015,1.4792,54400.0,False,True,False,False,False,0.8207300142730755,1.2154075645810247
-122.47,37.74,52.0,7.628517626575055,5.583496308781699,6.601230118728877,5.53338948872752,8.1189,500001.0,False,False,False,True,False,0.7319241538265278,1.3786337726841165
-114.57,33.52,27.0,5.159055299214529,3.58351893845611,4.770684624465665,3.5553480614894135,2.0833,45000.0,False,True,False,False,False,0.6946075842609604,1.4510689839613866
